    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
  211,     641,  5.1793,  0.1042, 1.858, 1.857
  212,     644,  5.1795,  0.1042, 1.857, 1.857
  213,     647,  5.1798,  0.1046, 1.857, 1.857
  214,     650,  5.1800,  0.1042, 1.858, 1.858
  215,     653,  5.1956,  0.0000, 2.831, 2.831
  216,     656,  5.1972,  0.0000, 2.832, 2.832
  217,     659,  5.1916,  0.0056, 0.867, 0.867
  218,     662,  5.1936,  0.0056, 0.867, 0.867
  219,     665,  5.1903,  0.0056, 0.868, 0.868
  220,     668,  5.1919,  0.0056, 0.868, 0.867
  221,     671,  5.1921,  0.0056, 0.868, 0.868
  222,     674,  5.1911,  0.0056, 0.868, 0.868
  223,     677,  5.1891,  0.0056, 0.868, 0.868
  224,     680,  5.1919,  0.0056, 0.869, 0.869
  225,     683,  5.1911,  0.0056, 0.869, 0.869
  226,     686,  5.1911,  0.0056, 0.869, 0.869
  227,     689,  5.1760,  0.2292, 1.875, 1.875
  228,     692,  5.1793,  0.2140, 1.876, 1.876
  229,     695,  5.2030,  0.5832, 1.931, 1.931
  230,     698,  5.2534,  0.7653, 1.958, 1.957
  231,     701,  5.2562,  0.7682, 1.957, 1.957
  232,     704,  5.2549,  0.7436, 1.953, 1.952
  233,     707,  5.2491,  0.7554, 1.949, 1.949
  234,     710,  5.2466,  0.7623, 1.951, 1.950
  235,     713,  5.2607,  0.7643, 1.953, 1.954
  236,     716,  5.2569,  0.7401, 1.950, 1.950
  237,     719,  5.1883,  0.1066, 1.857, 1.857
  238,     722,  5.1876,  0.1229, 1.857, 1.858
  239,     725,  5.1878,  0.0965, 1.857, 1.856
  240,     728,  5.1871,  0.1130, 1.857, 1.857
  241,     731,  5.1881,  0.1176, 1.856, 1.856
  242,     734,  5.1838,  0.0947, 1.856, 1.855
  243,     737,  5.1853,  0.0940, 1.856, 1.855
  244,     740,  5.1863,  0.0435, 2.499, 2.498
  245,     743,  5.1851,  0.0433, 2.500, 2.499
  246,     746,  5.1838,  0.0435, 2.499, 2.499
  247,     749,  5.1856,  0.0433, 2.500, 2.499
  248,     752,  5.1810,  0.2145, 1.868, 1.867
  249,     755,  5.1808,  0.1357, 1.861, 1.861
  250,     758,  5.1787,  0.1525, 1.862, 1.862
  251,     761,  5.1767,  0.1730, 1.863, 1.863
  252,     764,  5.1785,  0.1044, 1.862, 1.862
  253,     767,  5.1800,  0.1056, 1.858, 1.858
  254,     770,  5.1803,  0.1056, 1.858, 1.858
  255,     773,  5.1805,  0.1055, 1.858, 1.858
  256,     776,  5.1805,  0.1055, 1.858, 1.858
  257,     779,  5.1805,  0.1056, 1.859, 1.857
  258,     782,  5.1803,  0.1053, 1.858, 1.858
  259,     785,  5.1808,  0.1053, 1.858, 1.857
  260,     788,  5.1800,  0.1053, 1.858, 1.858
  261,     791,  5.1808,  0.1055, 1.858, 1.857
  262,     794,  5.1805,  0.1050, 1.856, 1.856
  263,     797,  5.1805,  0.1048, 1.857, 1.857
  264,     800,  5.1987,  0.0000, 2.832, 2.833
  265,     803,  5.1919,  0.0056, 0.863, 0.863
  266,     806,  5.1956,  0.0056, 0.864, 0.864
  267,     809,  5.1921,  0.0056, 0.864, 0.864
  268,     812,  5.1924,  0.0056, 0.865, 0.865
  269,     815,  5.1914,  0.0056, 0.865, 0.865
  270,     818,  5.1944,  0.0056, 0.865, 0.865
  271,     821,  5.1903,  0.0056, 0.866, 0.866
  272,     824,  5.1941,  0.0056, 0.866, 0.866
  273,     827,  5.1909,  0.0056, 0.866, 0.866
  274,     830,  5.1924,  0.0056, 0.867, 0.867
  275,     833,  5.1936,  0.0056, 0.867, 0.867
  276,     836,  5.1898,  0.0056, 0.867, 0.867
  277,     839,  5.1898,  0.0056, 0.867, 0.867
  278,     842,  5.1883,  0.0056, 0.867, 0.867
  279,     845,  5.1903,  0.0056, 0.867, 0.867
  280,     848,  5.1888,  0.0056, 0.868, 0.868
  281,     851,  5.1906,  0.0056, 0.868, 0.868
  282,     854,  5.1898,  0.0056, 0.868, 0.868
  283,     857,  5.1911,  0.0056, 0.868, 0.868
  284,     860,  5.1888,  0.0056, 0.868, 0.868
  285,     863,  5.1901,  0.0056, 0.868, 0.868
  286,     866,  5.1903,  0.0056, 0.868, 0.868
  287,     869,  5.1909,  0.0056, 0.868, 0.868
  288,     872,  5.1906,  0.0056, 0.868, 0.868
  289,     875,  5.1916,  0.0056, 0.868, 0.868
  290,     878,  5.1896,  0.0056, 0.868, 0.868
  291,     881,  5.1919,  0.0056, 0.868, 0.869
  292,     884,  5.1886,  0.0056, 0.868, 0.868
  293,     887,  5.1919,  0.0056, 0.869, 0.869
